id,smiles
X01,Cn1c(NCCO)nc2ccccc21
X02,CCCC(C)(C)O
X03,C=CCCCO
X04,CCC(O)(CC)CC
X05,Cc1c(O)ccc2c(CCl)cc(=O)oc12
X06,CCOC(=O)c1cnc2cc(C(F)(F)F)ccc2c1O
X07,CC1(CCc2ccc(O)cc2)NC(=O)NC1=O
X08,OCc1ccc(-n2cccn2)cc1
X09,Oc1ccc(CN2CCCC2)c2cccnc12
X10,OCc1cc2ccccc2o1
X11,Cc1cc(C)n2nc(CCCO)nc2n1
X12,Cc1c(C)n(-c2ccc(O)cc2)c2[nH]cnc(=O)c12
X13,OCc1sc2ccccc2c1Cl
X14,O=C(c1ccccc1O)N1CCOCC1
X15,Oc1ccc(Oc2ccccn2)cc1
X16,COC(=O)c1c(O)c(Cl)cc(Cl)c1Cl
X17,O=C1CCCc2cc(O)ccc21
X18,Oc1ccc(Nc2nnns2)cc1
X19,Cl.NCc1cc([N+](=O)[O-])ccc1O
X20,CC(=O)c1ccc(O)c(CN2CCCCC2)c1.Cl
X21,CC(C)NCCCO
X22,Oc1cc(C(F)(F)F)ccc1Cl
X23,CCOC(=O)c1cc(O)c(C(=O)OCC)s1
X24,NC(=O)c1cc(CCO)c(C(F)(F)F)[nH]c1=O
X25,OCCc1ccccc1C(F)(F)F
X26,NC(=O)C1CC(O)CN1
X27,Oc1c(Cl)cc(-c2nc3ccccc3s2)cc1Cl
X28,N#Cc1c(OCCCO)n[nH]c1N
X29,OCC1CCCCC1
X30,OCc1ccoc1
X31,Cc1cc(C(O)C(F)(F)F)c(C)n1CCC(C)C
X32,NNC(=O)c1nn(-c2ccccc2C(F)(F)F)cc1O
X33,O=S(=O)(c1ccccc1C(F)(F)F)N1CCN(c2ccccc2O)CC1
X34,C=C(C)CO
X35,Cc1cc(O)nc(NN)n1
X36,Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1
X37,CCNC(=O)NC1CCC(O)CC1
X38,CCCCCOc1ccc(O)cc1
X39,CN1CCC(NCCO)CC1
X40,Cl.Cl.NCCCN1CCC(O)CC1
X41,NCCO
X42,CN(C)c1cc(Br)ccc1CO
X43,NC1CCC(O)CC1
X44,Oc1ccc(Cl)c2ccccc12
X45,CC(C)(O)CCc1ccccc1
X46,O=C(NCCO)c1cccc(S(=O)(=O)N2CCCC2)c1
X47,O=C(NCCO)c1cccc(S(=O)(=O)N2CCCCC2)c1
X48,CC(=O)C(C)(C)O
X49,CCCCCCO
X50,Nc1cc(S(N)(=O)=O)ccc1O
X51,Oc1cccc(C(F)(F)F)n1
X52,CCCCOCCO
X53,O=C(NC1CCCC1)c1ccccc1O
X54,Oc1ccc(OC(F)(F)F)cc1
X55,Oc1ccnc2ccccc12
X56,COc1ccc2c(C)cc(O)nc2c1
X57,Oc1ccccc1-c1nnc2n1CCCCC2
X58,NC(=O)CO
X59,CC(=O)C12CC3CC(CC(O)(C3)C1)C2
X60,Cc1ccc(S(=O)(=O)N(C)C(C)C(O)c2ccccc2)cc1
X61,CC(=O)CCCO
X62,CN(c1ccc(O)cc1)S(=O)(=O)c1ccc(Cl)cc1
X63,COCc1cc(C(C)=O)ccc1O
X64,O=c1oc2c(-c3cccc(Cl)c3)cc(O)cc2s1
X65,O=c1c(Oc2ccc(Cl)cc2)coc2cc(O)ccc12
X66,CCOc1cc(C=C2NC(=S)N(c3ccc(OC(F)F)cc3)C2=O)ccc1O
X67,O=c1oc2c(-c3ccc(Cl)cc3Cl)cc(O)cc2s1
X68,O=c1oc2c(-c3ccc(F)cc3)cc(O)cc2s1
X69,Cc1cc(Br)ccc1O
X70,Cc1cccc(C(=O)Nc2ccc(O)cc2)c1
X71,Cl.Oc1ccc(CCl)c2cccnc12
X72,O=c1cc(CCl)c2ccc(O)cc2o1
X73,Oc1cccnc1Cl
X74,COCCCCO
X75,NC1CCCC(O)C1
X76,O=c1cc(-c2ccc([N+](=O)[O-])cc2)c2ccc(O)cc2o1
X77,O=c1oc2cc(O)ccc2c2c1CCC2
X78,O=C(c1ccccc1O)N1CCCCC1
X79,CC(C)OC(=O)c1ccc(O)cc1
X80,CN(c1ccc(O)cc1)S(=O)(=O)c1ccccc1
X81,O=c1cc(CCl)occ1O
X82,CN1CCCC1CCO
X83,Cl.O=C(CCl)N1CCN(c2ccc(O)cc2)CC1
X84,O=[N+]([O-])c1cc(Br)ccc1O
X85,Cn1cc(C(=O)c2cc(F)ccc2O)cc(C#N)c1=O
X86,Oc1ccc2ccccc2c1CN1CCCCC1
X87,Cc1cn2c(CO)c(C)nc2s1
X88,OCCc1nc2ccccc2s1
X89,O=C(Nc1ccc(O)cc1)c1ccc(Cl)cc1
X90,Oc1cn(-c2ccccc2)nn1
X91,CCOC(=O)Cc1c(C)nc(O)nc1C
X92,Oc1cccc(N2CCNCC2)c1
X93,CCc1cc2c(=O)c(Oc3ccc(-c4ccccc4)cc3)coc2cc1O
X94,OCCSCc1cc(Cl)ccc1OC(F)F
X95,Cn1c(N)c(-c2csc(-c3ccc(O)cc3)n2)c(=O)n(C)c1=O
X96,COc1ccc2nc(C)cc(O)c2c1
X97,CC(=O)Nc1ccc(S(=O)(=O)N(C)c2ccc(O)cc2)cc1
X98,Oc1ccc2c(c1)OCCO2
X99,COc1ccc(-c2csc(NC(=O)CCl)n2)c(O)c1
X100,OCc1ccsc1
X101,Cc1cc(C)n2nc(O)cc2n1
X102,OCc1ccccc1SC(F)F
X103,N#Cc1ccc(O)cc1F
X104,CCOC(=O)c1cc(O)cc(C(=O)OCC)c1
X105,COC(=O)C1CC(O)CN1.Cl
X106,OCCC1CC1
X107,O=c1oc2cc(O)ccc2c2c1CCCCC2
X108,Cc1ccc(N)cc1O
X109,CC(=O)c1cc(F)cc(CCl)c1O
X110,OCCC1CCCCC1
X111,NC(CCO)c1ccccc1
X112,Nc1ccc(O)cc1[N+](=O)[O-]
X113,COC1CCCCC1O
X114,O=C1CCCc2c(O)cccc21
X115,OCCCCCCl
X116,C[C@@H](O)c1cccc(F)c1
X117,Cc1nc(-c2ccccn2)nc(O)c1C
X118,NCC(O)c1ccc2ccccc2c1
X119,COc1cccc(F)c1O
X120,N#Cc1cc(C(=O)c2cc(F)ccc2O)cn(C2CC2)c1=O
X121,CC(O)C1CCCCC1
X122,O=[N+]([O-])c1ccc(Cl)c(O)c1
X123,Cc1ccc(CO)cc1N
X124,CC1CC1CO
X125,OCCOCc1ccccc1
X126,CCOc1cc(C#N)ccc1O
X127,CCC(=O)c1cc(Cl)ccc1O
X128,Cc1cc(=O)oc2c(C)c(O)ccc12
X129,CN1CCN(c2ccc(CO)cc2F)CC1
X130,OCc1cn(-c2ccccc2)nc1-c1cccs1
X131,N#Cc1cc(C(=O)c2cc(F)ccc2O)cn(-c2nccs2)c1=O
X132,COCCCn1cc(C(=O)c2cc(F)ccc2O)cc(C#N)c1=O
X133,O=C1C(=O)N(CN2CCN(CCO)CC2)c2ccccc21
X134,COc1ccc(C(N)=O)c(O)c1
X135,Oc1ccc(F)cc1C(=NNc1ccccc1)c1cnn(-c2ccccc2)c1
X136,Cc1cc(O)no1
X137,CN(c1ccc(O)cc1)S(=O)(=O)c1cccs1
X138,Oc1nc2ccccc2nc1N1CCOCC1
X139,Cc1ccc(-c2nnc(O)c3ccccc23)cc1
X140,CCN(CC)Cc1cc(C(C)=O)ccc1O.Cl
X141,COc1cc(C#N)cc(Cl)c1O
X142,COC(=O)C(C)CO
X143,C#CC(C)O
X144,Nc1cccc(CO)c1
X145,COc1ccc(C2NN=C(c3c[nH]c4ccccc34)C2O)cc1
X146,CC(O)c1nc2ccccc2s1
X147,O=[N+]([O-])c1ccccc1NCCO
X148,Nc1ccccc1N1CCC(O)CC1
X149,COC(=O)c1cc(O)cc(C(=O)OC)c1
X150,OCCc1ccsc1
X151,CCOc1cc(C#N)cc(Br)c1O
X152,Cc1cc(C)c(CO)c(C)c1
X153,NNC(=O)c1nn(-c2ccccc2)cc1O
X154,OC1CCOCC1
X155,CCc1cc2c(C)cc(=O)oc2cc1O
X156,C=CCc1cc(OCC)ccc1O
X157,Cc1ccc(S(=O)(=O)N(C)c2ccc(O)cc2)cc1C
X158,CC1CC(C)CC(O)C1
X159,COc1cc(CCN)ccc1O.Cl
X160,OCc1cc(Br)cc(CO)c1O
X161,N#Cc1cc(C(=O)c2ccccc2O)cn(-c2ccccn2)c1=O
X162,Oc1ccc(-c2nnco2)cc1
X163,N#Cc1cc(C(=O)c2ccccc2O)cn(-c2nccs2)c1=O
X164,OC1CNc2c(ccc3ccccc23)C1
X165,CC(NCc1ccccc1O)c1ccccc1
X166,Oc1nsnc1N1CCOCC1
X167,Oc1ccc2oc3c(c2c1)CCCC3
X168,COc1cc(CO)c(O)c(CO)c1
X169,CC(C)n1[nH]cc(C(O)(c2nccn2C)C(F)(F)F)c1=N
X170,O=[N+]([O-])CCO
X171,N#Cc1cc(C(=O)c2cc(F)ccc2O)cn(C2CCCCC2)c1=O
X172,OCc1nccn1C(F)F
X173,NC(=O)N1CC=C(c2ccc(O)cc2)CC1
X174,O=C(Nc1ccc(O)cc1)c1ccccc1
X175,Cc1cccc(O)c1N
X176,CSc1nc(N)cc(O)n1
X177,CN(c1ccc(O)cc1)S(=O)(=O)c1ccccc1F
X178,Oc1ccc(CCC2CCNCC2)cc1
X179,CC1(O)CCCC1
X180,OCCc1ccccc1F
X181,Oc1ccc(-n2cncn2)cc1
X182,OC(CCl)Cc1ccccc1
X183,CC(O)C1CC1
X184,Oc1c(Br)cccc1Br
X185,CNCc1ccc(O)c(OC)c1.Cl
X186,CC(N)CCc1ccc(O)cc1
X187,O=c1[nH]c(CO)nc2ccccc12
X188,COC(=O)c1ccc([N+](=O)[O-])c(O)c1
X189,COC(=O)c1ccc(C)cc1O
X190,COC(=O)c1cc(C)ccc1O
X191,CC(N)c1ccccc1O.Cl
X192,OC1CCc2ccccc2C1
X193,COc1ccc(C(N)CCO)cc1
X194,Cc1ccccc1C(C)O
X195,Oc1ccnc2ccsc12
X196,OCCC1CCCC1
X197,Cc1ccc(Oc2ccc(O)cc2)cc1
X198,Oc1cccc(Oc2ccccn2)c1
X199,OCc1cc2c(cc1Cl)OCO2
X200,CCOc1cccc(CO)c1OC(F)F
X201,O=S(=O)(c1ccc(O)c(S(=O)(=O)C(F)(F)F)c1)C(F)(F)F
X202,CC(C)(O)C(Cl)(Cl)Cl
X203,O=[N+]([O-])c1ccc(O)c2ccccc12
X204,Cc1cc([N+](=O)[O-])ccc1O
X205,O=[N+]([O-])c1cccc(CO)c1
X206,O=c1c(-c2ccccc2)coc2cc(O)ccc12
X207,Oc1ccc2[nH]ccc2c1
X208,COC(=O)c1cccc(OC)c1O
X209,OC(c1ccccc1)C1CCNCC1
X210,O=C1CC[C@@H](CO)N1
X211,N#CCC(O)(c1nc2ccccc2s1)C(F)(F)F
X212,Oc1ccccc1CNc1ccc2c(c1)OCO2
X213,CCOCCCO
X214,Cc1nc(-c2ccc(O)cc2)no1
X215,N#CC(CO)Cc1ccco1
X216,N#CCC(O)(c1ccco1)C(F)(F)F
X217,Oc1cnsn1
X218,Nc1ncc(C(O)(C(F)(F)F)C(F)(F)F)s1
X219,NCC(CO)Cc1ccco1
X220,COc1cc([N+](=O)[O-])ccc1O
X221,CN1CCN(C(C#N)c2ccc(O)cc2)CC1
X222,COC(=O)c1cc(CO)oc1C
X223,O=C(CCl)Nc1ccc(O)cc1
X224,Cn1ccnc1C(O)c1ccc(N)cc1
X225,CC(C)(C)OC(=O)N[C@H]1C[C@@H](O)C1
X226,CCOC(=O)C1=CNc2nncn2C1(O)C(F)(F)F
X227,CN1CCCC1CO
X228,CCN(CC)Cc1ccc(O)c2ncccc12
X229,COc1ccccc1NCc1ccccc1O
X230,O=c1cc(-c2ccccc2)c2cc(Cl)c(O)cc2o1
X231,CCOc1ccccc1CNCC(C)O
X232,OCCNCc1cccc(OCc2ccccc2Cl)c1
X233,CC(O)c1cc2ccccc2o1
X234,O=C(Nc1cccc(CO)c1)C(F)(F)F
X235,Cc1cc(C)n(-c2ccc(CO)cc2)n1
X236,Cc1c(O)ccc2c(-c3ccccc3)cc(=O)oc12
X237,Nc1cccc(C(=O)N2CCCCC2CCO)c1
X238,NCc1ccc(N2CCCCC2CCO)nc1
X239,CCOC(=O)c1c(N)n(CCO)c2nc3ccccc3nc12
X240,CCN(CC)S(=O)(=O)c1ccc(NCCO)c(N)c1
X241,Cl.NC(c1ccccc1)c1c(O)ccc2ccccc12
X242,CCOC(=O)c1c(C)oc2ccc(O)cc12
