id,smiles
A01,OCCC1=CC=CC=C1
A02,OCCCC1CCN(CC1)C(OC(C)(C)C)=O
A03,OCC1OCCCC1
A04,OCCCC(C)=O
A05,OC[C@@H]1CCCN(C1)C(OC(C)(C)C)=O
A06,OCCN(C)C(OC(C)(C)C)=O
A07,OCC1=CC=CC(C(OC)=O)=N1
A08,OC[C@H]1N(CCOC1)C(OC(C)(C)C)=O
A09,OCC1CN(C1)C(OC(C)(C)C)=O
A10,OC[C@H]1N(CCC1)C(OCC2=CC=CC=C2)=O
A11,OCC(C1=C2C=CC=C1)=CN2C(OC(C)(C)C)=O
A12,OCC1(CC1)NC(OC(C)(C)C)=O
A13,OC[C@H](CC1=CC=CC=C1)NC(OC(C)(C)C)=O
A14,OC[C@H](NC(OCC1=CC=CC=C1)=O)C(OC)=O
A15,OC[C@@H]1C[C@H](CC(OC(C)(C)C)=O)OC(C)(C)O1
A16,OCC[C@@H](C)CC/C=C(C)/C
A17,OC[C@H]1O[C@H]2[C@H](OC(C)(C)O2)[C@@H]3[C@H]1OC(C)(C)O3
A18,OC[C@H](NC(OC(C)(C)C)=O)C(OC(C)(C)C)=O
A19,OC[C@H]1O[C@@H](OC)[C@H]2[C@@H]1OC(C)(C)O2
A20,OCC1(CCCC1)NC(OC(C)(C)C)=O
A21,OCC1CCN(CC1)C(OCC2=CC=CC=C2)=O
A22,OC[C@H]1OC(N(C2=CC(F)=CC=C2)C1)=O
A23,O[C@@H](C)C1=CC=CC=C1
A24,O[C@H](C)CNC(OC(C)(C)C)=O
A25,O[C@H]1CCC[C@@H]1NC(OC(C)(C)C)=O
A26,O[C@H]1[C@@H](CCCC1)NC(OC(C)(C)C)=O
A27,OC1CCCN(CC1)C(OC(C)(C)C)=O
A28,OC1CCN(CC1)C(OCC2=CC=CC=C2)=O
A29,O[C@H](C1)CCN1C(OC(C)(C)C)=O
A30,OC1CN(C1)C(OC(C)(C)C)=O
A31,OC1CCCN(C1)C(OCC2=CC=CC=C2)=O
A32,OC1CC2(CN(C2)C(OC(C)(C)C)=O)CC1
A33,OC1CC2(CCN(CC2)C(OC(C)(C)C)=O)C1
A34,OC1CC(F)(F)C1
A35,OC1CC2(CN(C2)C(OC(C)(C)C)=O)C1
A36,O[C@H](C)[C@H](NC(OC(C)(C)C)=O)C(OC)=O
A37,O[C@@H](C1)C[C@@H](C(OC)=O)N1C(OC(C)(C)C)=O
A38,OC1(C2)CC2(C(OC)=O)C1
A39,OCCCC1(O)CCN(CC1)C(OC(C)(C)C)=O
A40,OCC1(CCN(CC1)C(OC(C)(C)C)=O)O
A41,O=C(C1CCC(O)CC1)N(C2)CCN3C2=NN=C3C(F)(F)F
A42,OCC1=C(C(C)C)N=C(N(C)S(=O)(C)=O)N=C1C2=CC=C(F)C=C2
A43,OC(C1)CCCN1C2=NC(N3N=CC=C3)=CN=C2
A44,O=C(N1CC(CO)CCC1)C2=CC(C)=CC=C2N3N=CC=N3
A45,O[C@@H]1[C@@H](OC(C)(C)O2)[C@@H]2OC1[C@H]3COC(C)(C)O3
A46,O[C@H]1CC(OC)O[C@@H]1COC(C2=CC=CC=C2)=O
A47,O=C(O[C@@H]1C[C@@](OC(C2)=O)([H])[C@@]2([H])[C@H]1CO)C3=CC=C(C4=CC=CC=C4)C=C3
A48,OC(CNC(C1=CC=C(OC)C=C1)=O)C2CCN(CC2)C(OC(C)(C)C)=O
A49,OC1CO[C@@H](C2=CC(F)=CC=C2F)[C@H](NC(OC(C)(C)C)=O)C1
A50,OC[C@@H]1C[C@@H](O)CN1C(OC(C)(C)C)=O
A51,O[C@]1(C)[C@H](O)C[C@H]2C(C)(C)[C@@H]1C2
A52,OC1(C2)CC2(C3CN(C3)C(OC(C)(C)C)=O)C1
A53,OC(C)C1=CC=CC(Br)=C1
A54,OC1(C2)CC2(C(C)=O)C1
A55,OC1(C2)CC2(C(F)(F)F)C1
A56,OC1(C2)CC2(C3=CC=CC=C3)C1
